id,x_topo,y_topo
W2044924889,15.635107,5.113716
W2034966370,0.1132312,3.8624196
W1998916693,15.621383,5.0830965
W2001920005,15.6274,5.114609
W2050066249,15.580095,5.072042
W180189952,15.625555,5.1095614
W2143119138,4.3543353,4.9205627
W1978144250,-3.4988496,2.327207
W1982471813,-3.33425,2.2447824
W2095769364,2.733259,2.6946027
W2074797641,0.7775135,4.8142195
W2039068768,-3.4900734,2.1451204
W1968221285,4.0551744,12.115199
W2109214191,-3.3370695,1.9739935
W1901774525,0.7432507,4.4263577
W1972321468,3.0401766,2.7841601
W2044175596,-3.4957633,2.1476529
W2017244049,-3.265332,1.9213251
W2069896124,-3.4625964,2.1226735
W1552542919,-3.4567173,2.198397
W53377435,-3.4751942,2.236759
W2130859329,-0.008786898,5.2798533
W2015875526,3.2383418,2.775848
W2027901189,1.3655577,17.371843
W2077283376,9.392376,5.6667266
W2035878903,-3.378925,2.1730132
W2150712551,2.6575992,2.641551
W4230801050,17.440952,14.602751
W2046293051,6.308428,21.15152
W1980249258,6.3127804,21.151876
W2059861094,8.073291,9.058814
W2158702010,6.315455,21.148415
W62832500,6.331009,21.141397
W2004924114,6.3088307,21.15277
W2125269219,6.31366,21.150373
W2168272469,-7.617013,-2.8066921
W2170419840,15.123227,16.341278
W2071178938,15.121117,16.333242
W1980380416,15.140167,16.356796
W1974880270,2.774176,0.3689794
W2135949944,15.120298,16.330872
W2068417948,15.114042,16.321625
W4246272943,4.240184,4.726956
W2126580042,2.0003226,3.0528786
W3005711064,-0.0691828,5.3816977
W1969026243,5.8318033,-6.861651
W2167111030,4.3668,9.306887
W1992323613,5.8509417,-6.840056
W2002206380,5.8247223,-6.8954105
W1966623440,9.253277,-3.3505414
W2077623709,5.861839,-6.84723
W1511582654,5.765762,-6.9396977
W2130538955,2.2087858,8.418004
W2038613731,5.7892895,-6.9223537
W2046315331,5.8534756,-6.8597283
W2012652910,5.7927265,-6.9115357
W1903268006,5.8403673,-6.879413
W2019520294,19.220741,14.186725
W2573774855,10.344148,-0.59309673
W1995992857,3.2452486,2.500833
W2099439371,-0.4906613,5.8311415
W2295971529,0.7425677,3.5907552
W2130364413,1.4480771,3.888182
W2029403095,12.2248335,6.456183
W2007992085,3.1946368,2.7949338
W2002041302,12.2128935,6.4545364
W4240734935,12.18082,6.4491944
W2131657873,-1.2976419,5.449104
W1499879741,12.2114,6.457575
W4302313560,11.619507,6.4312534
W181186982,12.191267,6.4452558
W2026343926,3.215293,2.76703
W4247725852,12.218524,6.4542103
W1974170079,3.173479,2.7762997
W2002010034,2.3050036,2.3139575
W2031991571,12.2193365,6.454452
W2099988054,12.15657,6.4399776
W2078186475,20.250492,0.7970976
W1979253984,0.58312637,6.871903
W2061796850,-7.8736553,13.858751
W1964316648,-7.825929,13.8122835
W2139791793,-7.842297,13.826069
W2112779958,-7.84914,13.835417
W2050257180,-7.8278155,13.813886
W1996128641,-7.846711,13.832296
W4242572228,0.660065,3.135218
W2058229929,-0.20702319,4.9976835
W2068645832,2.8857322,3.2228334
W2070766302,0.13599323,3.5445895
W4236712371,6.319578,21.145123
W1880711490,5.122804,3.6436663
W49183388,2.7464583,17.706886
W4232465159,1.946825,4.4243116
W2025364449,0.082542986,6.1718354
W1781425704,3.4283183,3.0437875
W2115921274,2.659371,17.786718
W2153280911,4.3530235,4.3447237
W2118588333,0.8564522,4.488956
W3013471013,1.0313188,5.565404
W2996784711,3.1712034,2.346219
W2997387466,1.8819839,1.3329705
W2064072235,3.1571624,0.57854366
W1966832848,2.64686,0.5839132
W1970099514,14.541911,10.372357
W1997057955,1.6819326,1.4795808
W3003234340,0.4976133,6.7747664
W3097830658,0.9296705,3.1840456
W2125975474,3.0685275,1.1950607
W2004453135,3.003921,2.8857722
W3000849327,3.460547,3.085324
W1599815690,3.5333612,3.225652
W2092686707,3.4518962,3.0509288
W2177745862,3.015332,2.7736993
W1994376183,3.5337405,3.2248168
W1532825631,3.5300148,3.2218125
W2113864904,4.7397585,3.9383981
W85028940,1.1700726,2.0196586
W2122199227,14.542205,10.370168
W2000259215,14.546214,10.376136
W2294130413,2.6387248,0.957646
W2164001253,14.528696,10.39883
W2154741421,1.4544525,3.899133
W2128729208,14.547469,10.371688
W2158057652,14.538105,10.3619585
W15730009,14.549076,10.369268
W4237375676,-0.13484985,5.389842
W2320365489,2.958705,1.2906975
W4245792728,4.7401195,3.894
W4249698525,9.55231,5.7004156
W2161519492,9.347647,5.65154
W1978196063,2.8558698,0.012410344
W112405279,9.5547085,5.6952443
W582153075,-4.0746922,-2.8076403
W4250947857,1.2257749,4.818684
W1532469653,1.8589785,1.3370764
W2146361060,4.714612,-5.026759
W1969556630,0.8508733,3.9908233
W2094476018,-6.758611,-0.7575386
W1581303888,-6.733969,-0.7338784
W4251530686,6.904433,5.1454873
W4302335743,-6.7525105,-0.7407541
W2032433722,0.26670364,5.5990567
W2082128359,7.7236524,21.039291
W1995990042,1.1458727,2.1067593
W2796837256,2.9183643,0.8616755
W2104658797,6.9596887,5.624065
W2121487911,0.31713966,2.473258
W1573785810,11.634064,-10.799969
