degree,eigenvector,betweenness,clustering,pagerank,x_proj,y_proj,node_id
4,-2.1394673612083352e-16,0.0,0.0,1.2780563602141817e-05,1.1669637,5.1567736,W3004210113
2,7.768822577175079e-20,0.0,1.0,1.2098410154225213e-05,-0.08130199,6.235948,W4239941272
1,-1.2665926191243927e-19,0.0,0.0,1.1671285636875918e-05,10.805109,-7.5109024,W3092573107
30,0.006860255420861501,0.0,0.03218390804597701,2.683525488612416e-05,8.107763,7.2110734,W1753524162
5,0.01724455745375334,0.0,0.0,1.3506875977188748e-05,8.18187,5.185037,W1991859109
15,0.05031279132854383,0.0,0.047619047619047616,1.8334664974259357e-05,8.907284,6.218482,W2036345186
1,-1.925652544677233e-20,0.0,0.0,1.1671285636875918e-05,-13.989201,6.755513,W4244385038
14,0.004085133442439104,0.0,0.04395604395604396,1.8029833809505103e-05,7.447624,6.1899767,W1980670965
2,1.7369699243183002e-19,0.0,0.0,1.1929808371061018e-05,1.1271952,-2.0819268,W3016556061
351,0.0012414484604737729,0.0,0.00573056573056573,0.00011143259926933045,8.552347,7.5103087,W4285719527
1,-5.651275588755776e-20,0.0,0.0,1.1671285636875918e-05,-13.989171,6.7554655,W4206183719
2,-5.721256808252463e-16,0.0,0.0,1.2326209896811503e-05,10.985178,6.131925,W4300929448
11,-1.5451254613524034e-14,2.1908526468039025e-06,0.09090909090909091,1.2443160657514288e-05,3.8800013,5.8335085,W2058462165
1,-6.9232426154064215e-15,0.0,0.0,1.2061121505885194e-05,13.32106,-11.815804,W1989917544
2,-6.9252890874667234e-15,0.0,1.0,1.2552314700836885e-05,-0.5178269,6.5675683,W2053776717
1,-6.923433074724808e-15,0.0,0.0,1.2061121505885194e-05,-7.127283,10.288946,W2097674218
69,0.03338996041954424,0.0,0.03154305200341006,5.796619290486348e-05,8.552767,7.514384,W2140415400
14,3.373058496898065e-05,0.0,0.07692307692307693,2.428652357748753e-05,8.042758,7.1645703,W2130576503
2,-7.0773168954545726e-15,0.0,0.0,1.2762826070101894e-05,-0.09246134,5.6928754,W3149441033
16,0.0057874361584101894,0.0,0.16666666666666666,1.6405939506787027e-05,6.3432045,4.9485335,W1987278426
1,-6.924296897691259e-15,0.0,0.0,1.2061121505885194e-05,-7.127318,10.288957,W2320150582
2,-6.92464210493477e-15,0.0,0.0,1.248824602323449e-05,-0.3067199,5.1759424,W1612551514
3,-2.3814528664814913e-21,0.0,0.0,1.0969581072659219e-05,-1.7449288,-2.8449209,W4232108933
4,0.0007503101583421745,0.0,0.0,1.5300639822953573e-05,6.2674346,4.8632083,W2003938193
